URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
162,https://insights.blackcoffer.com/data-analytics-reduce-cost-production/,34,6,0.6999999825000005,0.051948051880586946,33,0.25,13.3,33,190,448,2,0,6
163,https://insights.blackcoffer.com/gaining-insights-internal-data-retail/,23,3,0.7692307396449716,0.045694200271187695,24,0.29,9.72,24,167,356,2,0,7
164,https://insights.blackcoffer.com/role-big-data-cyber-security/,35,31,0.06060605968778698,0.09166666653935185,27,0.33,10.93,27,239,470,2,0,7
165,https://insights.blackcoffer.com/role-big-data-healthcare/,55,53,0.018518518347050757,0.10140845060900613,23,0.3,9.32,23,318,654,2,0,7
166,https://insights.blackcoffer.com/data-driven-dashboards/,27,8,0.5428571273469392,0.043050430451352484,22,0.23,8.89,22,188,454,2,0,6
167,https://insights.blackcoffer.com/role-big-data-academia/,44,18,0.41935483194588985,0.04161073822710688,23,0.22,9.29,23,333,827,2,15,6
168,https://insights.blackcoffer.com/sales-forecasting-in-retail/,29,15,0.3181818109504134,0.06241134742920376,25,0.29,10.12,25,202,437,2,0,7
169,https://insights.blackcoffer.com/detect-data-exfiltration-over-the-network/,18,48,-0.4545454476584023,0.06896551716931502,18,0.28,7.31,18,267,601,2,6,7
170,https://insights.blackcoffer.com/data-exfiltration/,2,4,-0.33333327777778704,0.01232032851679604,20,0.21,8.08,20,101,268,2,11,6
171,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,9,8,0.05882352595155729,0.05964912259772238,26,0.21,10.48,26,59,153,2,0,6
